domain,h,local_order_l2,median_assembly_seconds,median_condition,median_l2,median_linf,median_n_points,median_solve_seconds,method,problem,trials,unstable_count
circle,0.1,-1.2872669674006816,0.18557315249927342,2254.169541991425,5.788341515113379,22.116765853015153,301.0,0.0021764819975942373,ccpfm_flux,circular_interface,10,1
circle,0.125,0.8201932278892298,0.10992233249271521,440.7270846766088,4.343152593438232,6.700947927467729,207.0,0.0014154180025798269,ccpfm_flux,circular_interface,10,0
circle,0.16,0.18215287845720007,0.06642000349529553,139.31976818504475,5.317873219122658,7.35572417013284,136.0,0.0008168704953277484,ccpfm_flux,circular_interface,10,0
circle,0.2,nan,0.05007205549190985,41.33043652029926,5.538477772872577,6.794136403659417,95.0,0.0004714384995168075,ccpfm_flux,circular_interface,10,0
circle,0.1,0.39053540373376366,0.1232745430097566,386.6341762808441,2.425944032639386,5.658108652036412,301.0,0.002107602485921234,wls_strong,circular_interface,10,0
circle,0.125,0.7038905321062036,0.07435442500718636,262.1074470088564,2.6468392634317146,7.379549834931019,207.0,0.0011565489985514432,wls_strong,circular_interface,10,0
circle,0.16,0.9210034412645448,0.05055283800174948,154.0350939239621,3.149137698830648,8.6608957816915,136.0,0.0005524074949789792,wls_strong,circular_interface,10,0
circle,0.2,nan,0.034852712000429165,139.29965207551575,3.8676405635563036,8.98279547014597,95.0,0.000418135998188518,wls_strong,circular_interface,10,0
annulus,0.1,1.4956387353427643,0.16868036400410347,162.41371190405897,0.12101573491629616,0.2700556295809167,301.0,0.0017327640016446821,ccpfm_flux,smooth_variable,10,0
annulus,0.125,0.9496974613304098,0.10180301500076894,113.32867581496913,0.1689601209994496,0.3372765942015598,209.0,0.0009860089994617738,ccpfm_flux,smooth_variable,10,0
annulus,0.16,1.007910423367005,0.06836659699911252,33.08638104254469,0.21359999976281285,0.41186680609221893,143.5,0.0007765685004414991,ccpfm_flux,smooth_variable,10,0
annulus,0.2,nan,0.04596194250189001,10.65274922090615,0.2674717136157593,0.5017869383169631,102.0,0.00043121600174345076,ccpfm_flux,smooth_variable,10,0
annulus,0.1,2.7287585570744834,0.10692121450119885,47.230631088957566,0.10162051980461953,0.5488732745545566,301.0,0.001351097998849582,wls_strong,smooth_variable,10,0
annulus,0.125,6.287693849812064,0.07087033900461392,43.702964870077835,0.18682089113216427,0.8629888648621561,209.0,0.0010394775017630309,wls_strong,smooth_variable,10,0
