domain,h,local_order_l2,median_assembly_seconds,median_condition,median_l2,median_linf,median_n_points,median_solve_seconds,method,problem,trials,unstable_count
circle,0.1,-3.654253136210295,0.3120964759999936,2235.007048317831,7.928771145552452,24.506504749325313,299.0,0.0015070169999944483,ccpfm_flux,circular_interface,5,1
circle,0.12,0.8749503676354875,0.19732822100002068,546.2514887986181,4.072466926147576,7.69168518622742,222.0,0.0009075670000129321,ccpfm_flux,circular_interface,5,0
circle,0.16,0.24679546121284246,0.10945321400001262,141.74109563083388,5.23808762809513,7.456045498521851,136.0,0.0003890870000020641,ccpfm_flux,circular_interface,5,0
circle,0.2,nan,0.07415896300000213,43.23492060146255,5.534644247937667,6.774619640339424,97.0,0.0002587349999885191,ccpfm_flux,circular_interface,5,0
circle,0.1,0.4805403400446511,0.19474755999999616,324.65035259193496,2.4030997260780365,6.03386637741168,299.0,0.0012139620000084506,wls_strong,circular_interface,5,0
circle,0.12,0.5055771816627066,0.155025720000026,261.0084117408712,2.6231406452649813,6.498473884093938,222.0,0.0007884000000046854,wls_strong,circular_interface,5,0
circle,0.16,1.0627440681466687,0.08295698500000981,165.7443792827896,3.0338056176282167,9.273653416872003,136.0,0.0004458120000094823,wls_strong,circular_interface,5,0
circle,0.2,nan,0.06395885899999598,142.10541202656998,3.8457255945819306,8.663981986307187,97.0,0.0002768010000124832,wls_strong,circular_interface,5,0
annulus,0.1,1.2123397844942785,0.2796051569999918,163.60476949326167,0.12967559626713906,0.26713690793603184,299.0,0.0011604630000192628,ccpfm_flux,smooth_variable,5,0
annulus,0.12,1.0419666592595884,0.19841292200001703,127.44937295067481,0.161753180340977,0.34715826531151817,225.0,0.0008382750000066608,ccpfm_flux,smooth_variable,5,0
annulus,0.16,0.9169000576943043,0.09032686699998749,33.75488912211081,0.2182904953529698,0.39617716990283536,143.0,0.0003920020000123259,ccpfm_flux,smooth_variable,5,0
annulus,0.2,nan,0.05571761300001299,9.718925515676668,0.2678499828504891,0.5140344704507265,102.0,0.00024179900000831367,ccpfm_flux,smooth_variable,5,0
annulus,0.1,1.5233978843128841,0.3049727200000234,50.28826242525352,0.06664024486255372,0.2292604990410767,299.0,0.001171589999984235,cls_gfd,smooth_variable,5,0
annulus,0.12,3.3428057868625785,0.20579882800001315,29.52802223980736,0.08797537503266423,0.32069368072155824,225.0,0.0007907129999864537,cls_gfd,smooth_variable,5,0
annulus,0.16,2.8270121882781503,0.11133747200000244,24.963000170876978,0.23014792231866057,0.7521274427341557,143.0,0.0004188519999956952,cls_gfd,smooth_variable,5,0
annulus,0.2,nan,0.053041519999993625,22.287909463353962,0.43248678976686683,1.3809037274232963,102.0,0.0002961499999969419,cls_gfd,smooth_variable,5,0
annulus,0.1,3.1683928712668368,0.09406703100000868,46.87300131248402,0.10174629647721037,0.5630250796938238,299.0,0.0009634710000057112,wls_strong,smooth_variable,5,0
annulus,0.12,5.741596604725267,0.10080532500001027,76.16695060181246,0.1812992074424965,1.3958383747240592,225.0,0.000663384999995742,wls_strong,smooth_variable,5,0
annulus,0.16,-1.0659020966135415,0.06684329199998729,37.75989421451554,0.9456789703569307,4.896228433336514,143.0,0.0003790629999969042,wls_strong,smooth_variable,5,0
annulus,0.2,nan,0.037972908000000416,18.61389397955528,0.745499137650238,2.7414402433063754,102.0,0.00026655499999606036,wls_strong,smooth_variable,5,0
circle,0.1,1.3852532099762047,0.3854328980000048,478.47111687449046,0.13550481708874001,0.3379754774206347,299.0,0.0014576739999938582,ccpfm_flux,smooth_variable,5,0
circle,0.12,1.0544923026481654,0.2494630560000246,337.6069044616314,0.17443788387777243,0.41373875996844955,222.0,0.0009447330000114107,ccpfm_flux,smooth_variable,5,0
circle,0.16,0.7678083523894241,0.06342304399998966,200.26853492076185,0.23625866500361062,0.45235627856013916,136.0,0.0003945750000013959,ccpfm_flux,smooth_variable,5,0
circle,0.2,nan,0.059574679999997215,126.6162943571609,0.28041165655038364,0.5447656157537002,97.0,0.0002657549999867115,ccpfm_flux,smooth_variable,5,0
circle,0.1,2.4262997083161584,0.18350143200001412,95.46627876101846,0.06990975497393753,0.21263407840489013,299.0,0.001358237000005147,cls_gfd,smooth_variable,5,0
circle,0.12,2.7681760509290685,0.22616007700000296,77.1655796982053,0.10880659361973137,0.30500090884595105,222.0,0.0010539149999999609,cls_gfd,smooth_variable,5,0
circle,0.16,3.488927876704989,0.1340521760000115,50.419950467376815,0.24127239355826394,0.6788861565934012,136.0,0.0007146609999892917,cls_gfd,smooth_variable,5,0
circle,0.2,nan,0.06795106600000622,33.00131017441912,0.5255568229280396,1.5225735905085243,97.0,0.0006670099999723789,cls_gfd,smooth_variable,5,0
circle,0.1,3.4646011012557936,0.20141230499999097,77.62628399401277,0.11690011823424705,0.5337590360390096,299.0,0.0013159629999961453,wls_strong,smooth_variable,5,0
circle,0.12,2.7717325274122495,0.0832744570000159,77.94334531473939,0.21986008051085054,1.1730656277493683,222.0,0.0010479050000071766,wls_strong,smooth_variable,5,0
circle,0.16,3.9215468258255037,0.04970068999998034,49.82065111427153,0.4880262054529617,1.6676208066780334,136.0,0.00043580700000234174,wls_strong,smooth_variable,5,0
circle,0.2,nan,0.04142408199999181,47.43049446538937,1.1707934841086942,3.9094854427018735,97.0,0.0007462279999970178,wls_strong,smooth_variable,5,0
ellipse,0.1,1.3767483862295402,0.2829685909999853,352.62143847645547,0.1532686278291425,0.3327616342173373,267.0,0.0012421339999946213,ccpfm_flux,smooth_variable,5,0
ellipse,0.12,0.7713262111191282,0.15753387899999893,247.86456896580958,0.1969998620380885,0.4327427663916615,195.0,0.0006615819999922223,ccpfm_flux,smooth_variable,5,0
ellipse,0.16,0.017250751712076563,0.1043018009999912,144.04918752043093,0.24594298760634242,0.5154864733361204,119.0,0.00030244900000298003,ccpfm_flux,smooth_variable,5,0
ellipse,0.2,nan,0.05289783699998907,90.17764636890486,0.24689154357868406,0.4964264116765405,82.0,0.00021218500000941276,ccpfm_flux,smooth_variable,5,0
ellipse,0.1,2.5835345593308294,0.17192097899999226,68.54141054506643,0.07122891485421468,0.23637839832792373,267.0,0.0011903279999785354,cls_gfd,smooth_variable,5,0
ellipse,0.12,2.267944886694741,0.19755251399999452,62.564085196587826,0.11408375668246311,0.41321619596515835,195.0,0.0007075899999904323,cls_gfd,smooth_variable,5,0
ellipse,0.16,4.515713729309965,0.10651128599999993,33.46417675666382,0.21906751535131877,0.61539075818765,119.0,0.0003904600000055325,cls_gfd,smooth_variable,5,0
ellipse,0.2,nan,0.061344496999993225,25.558200796495758,0.6000616319497786,1.672148374179147,82.0,0.0002447029999927963,cls_gfd,smooth_variable,5,0
ellipse,0.1,3.2926408243503116,0.18077524500000663,60.73453778860739,0.12096190251291382,0.5778507830592283,267.0,0.0009480069999767693,wls_strong,smooth_variable,5,0
ellipse,0.12,3.3189874003892816,0.07530958099999907,49.61264236266436,0.2204773661589677,1.0846232705616212,195.0,0.0006168559999935042,wls_strong,smooth_variable,5,0
ellipse,0.16,4.17037522616109,0.07344219899999871,43.668301888837824,0.5728410139207973,2.9754782401360864,119.0,0.00037807100000009086,wls_strong,smooth_variable,5,0
ellipse,0.2,nan,0.03302715499998499,36.51790846192604,1.4527310605078532,5.029448656668193,82.0,0.0002235210000094412,wls_strong,smooth_variable,5,0
star,0.1,2.348555741307311,0.188289731999987,127.7812953652128,0.05241749652682753,0.1638616916372937,240.0,0.000785476000004337,ccpfm_flux,smooth_variable,5,0
star,0.12,1.1377551073460241,0.13897961099999634,82.37988510638462,0.08043366261095122,0.2302401729321606,180.0,0.0004855210000016541,ccpfm_flux,smooth_variable,5,0
star,0.16,0.8805487281952293,0.08349864999999568,61.19920855994646,0.11158030155166347,0.26554489875062126,117.0,0.00028620500000897664,ccpfm_flux,smooth_variable,5,0
star,0.2,nan,0.05088457700000504,26.291709440267496,0.13580680105656828,0.2880050769347746,84.0,0.00017413899999496607,ccpfm_flux,smooth_variable,5,0
star,0.1,2.7341178160233226,0.2198982909999927,61.42729554711205,0.047325276088197116,0.1723165673417162,240.0,0.0007321870000112085,cls_gfd,smooth_variable,5,0
star,0.12,3.1278145303098075,0.16129247999998597,48.754819717128996,0.07790835091887326,0.3542759165920104,180.0,0.000502416000017547,cls_gfd,smooth_variable,5,0
star,0.16,3.200648062378042,0.07676228799999762,31.826081700548976,0.19158839866807703,0.6085779210480524,117.0,0.00034086599998772726,cls_gfd,smooth_variable,5,0
star,0.2,nan,0.05918162599999732,18.375971605544123,0.3913308199563158,1.6511638161276005,84.0,0.0002360799999792107,cls_gfd,smooth_variable,5,0
star,0.1,-3.2162395336894933,0.1284613950000164,216.3581355836226,0.32470150503594447,3.8592375259939202,240.0,0.0006460390000029292,wls_strong,smooth_variable,5,0
star,0.12,2.2761848406357914,0.09333167900001627,64.85682343960802,0.1806418813845399,1.0246626659451366,180.0,0.00045684799999889947,wls_strong,smooth_variable,5,0
star,0.16,4.930526411127877,0.04105677700002275,35.05006816186163,0.34769793073065647,1.0835581564231966,117.0,0.00030485299998872506,wls_strong,smooth_variable,5,0
star,0.2,nan,0.04328206100001353,30.72936123931289,1.0447670918203633,5.246264838441008,84.0,0.00020147899999756191,wls_strong,smooth_variable,5,1
