added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,assembly_seconds,boundary_band_live,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_fraction,boundary_edge_negative_lambda_fraction,cloud_seconds,cls_regularization,comparator_id,condition_estimate,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_fraction,core_edge_negative_lambda_fraction,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,effective_weight_added_edge_median,effective_weight_added_edge_p90,effective_weight_boundary_edge_median,effective_weight_boundary_edge_p90,effective_weight_core_edge_median,effective_weight_core_edge_p90,effective_weight_median,effective_weight_original_boundary_edge_median,effective_weight_original_boundary_edge_p90,effective_weight_original_core_edge_median,effective_weight_original_core_edge_p90,effective_weight_original_edge_median,effective_weight_original_edge_p90,effective_weight_p90,h,l2,lambda_ratio_median,linf,max_local_cond,max_reproduction_defect,median_local_cond,median_local_sigma_min,median_selected_neighbors,method,n_added_edges,n_edges,n_points,negative_lambda_fraction,original_boundary_edge_correction_rel_max,original_boundary_edge_correction_rel_median,original_boundary_edge_correction_rel_p90,original_boundary_edge_fraction,original_boundary_edge_negative_lambda_fraction,original_core_edge_correction_rel_max,original_core_edge_correction_rel_median,original_core_edge_correction_rel_p90,original_core_edge_fraction,original_core_edge_negative_lambda_fraction,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,problem,protected_interface_nodes,seed,solve_seconds,total_seconds,trial,unstable
,,,,,0.03341919700000062,,,,,,,0.04366169499999728,,,42.0183038252293,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.0530362087553213,,2.850990285516374,21.44726287761905,,9.351748413557956,,,wls_strong,,,94,,,,,,,,,,,,,,,,,smooth_variable,,8101,0.019633780000020806,0.09671467200001871,1,False
,,,,,0.055674750000008544,,,,,,,0.034625377999986995,1e-12,CLS-GFD-type-v1,31.48416375551651,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,0.5255568229280396,,1.396434856505883,785.5088058505187,1.0545306849962799e-09,249.67027289952358,0.014235174931329572,22.0,cls_gfd,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8100,0.0015142180000111694,0.09181434600000671,0,False
,,,,,0.04142408199999181,,,,,,,0.05226581799999508,,,61.78396919491752,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.5541470232959311,,4.9332078758861835,21.21779066129028,,9.474436564134686,,,wls_strong,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8103,0.0007250870000063969,0.09441498699999329,3,False
nan,nan,nan,0.0,nan,0.059574679999997215,0.0,4.065517107663882,0.6487463308386734,2.1060476924371194,0.7248945147679325,0.37718277066356226,0.05939045599998849,,,126.6162943571609,4.4076527150327394e-11,1.991786211080308e-10,2.826437684562097,0.21409032895203656,1.7963005946778636,0.2751054852320675,0.2607361963190184,0.8088748609979963,0.13678024435280134,0.6091935119881808,4.065517107663882,0.501404185976584,2.029480767916629,circle,nan,nan,3.373279550157113,12.89719043967879,4.813584020117974,20.233945002357128,3.725607122477162,3.373279550157113,12.89719043967879,4.813584020117974,20.233945002357128,3.725607122477162,17.150094826446292,17.150094826446292,0.2,0.27221407334696296,0.8189524803242901,0.5447656157537002,24.746443564809997,,10.11523912219325,,,ccpfm_flux,0,1185,97,0.34514767932489454,4.065517107663882,0.6487463308386734,2.1060476924371194,0.7248945147679325,0.37718277066356226,2.826437684562097,0.21409032895203656,1.7963005946778636,0.2751054852320675,0.2607361963190184,4.065517107663882,0.501404185976584,2.029480767916629,1.0,0.34514767932489454,smooth_variable,0,8102,0.00028848799999536823,0.11925362399998107,2,False
,,,,,0.05794928700001378,,,,,,,0.03331401099998743,1e-12,CLS-GFD-type-v1,24.733279031730696,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,0.5018723278925259,,1.3880802216506645,926.7994926245003,7.135767532417958e-10,244.70652179466967,0.016463559857643393,26.0,cls_gfd,,,97,,,,,,,,,,,,,,,,,smooth_variable,,8103,0.0006670099999723789,0.09193030799997359,3,False
nan,nan,nan,0.0,nan,0.05173022299999275,0.0,4.104552188246055,0.6180137631632572,2.170152315542257,0.717948717948718,0.3726190476190476,0.03370668400000909,,,127.12775602542008,4.6438207446097834e-11,2.0305276841921075e-10,2.7736350245319756,0.22467993860759478,1.8120718279199752,0.28205128205128205,0.2696969696969697,0.8261359786481809,0.1346631737775709,0.6043337859381389,4.104552188246055,0.4965455356994225,1.9875072715183215,circle,nan,nan,3.3375836852923264,12.902112878136956,4.742321753498264,20.44487250734365,3.761638767761459,3.3375836852923264,12.902112878136956,4.742321753498264,20.44487250734365,3.761638767761459,17.72485700976165,17.72485700976165,0.2,0.27457938209954447,0.7874060164027715,0.6366770765496436,25.961056703388177,,10.121431966874864,,,ccpfm_flux,0,1170,97,0.3435897435897436,4.104552188246055,0.6180137631632572,2.170152315542257,0.717948717948718,0.3726190476190476,2.7736350245319756,0.22467993860759478,1.8120718279199752,0.28205128205128205,0.2696969696969697,4.104552188246055,0.4965455356994225,1.9875072715183215,1.0,0.3435897435897436,smooth_variable,0,8103,0.000296990999999025,0.08573389800000086,3,False
,,,,,0.019924541999984058,,,,,,,0.032108070000020916,,,48.32975527256665,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,1.3910993866308696,,4.4391510601724695,22.91417387223931,,9.379182072822907,,,wls_strong,,,95,,,,,,,,,,,,,,,,,smooth_variable,,8104,0.0006595490000051996,0.052692161000010174,4,False
,,,,,0.06795106600000622,,,,,,,0.03245214199998259,1e-12,CLS-GFD-type-v1,38.562918646492854,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.2,0.48343944411260725,,1.5225735905085243,864.9419657968465,8.179572574817939e-10,245.0001684626818,0.015712474004662073,22.0,cls_gfd,,,95,,,,,,,,,,,,,,,,,smooth_variable,,8104,0.00032959899999696063,0.10073280699998577,4,False
nan,nan,nan,0.0,nan,0.03548971100002518,0.0,3.940662520223443,0.5917428202221164,2.189373341223369,0.7383015597920277,0.37089201877934275,0.03210007799998493,,,124.37196540550359,3.256887814995224e-11,1.8196612905865882e-10,2.838212428933873,0.23615610906081974,1.7682219004638713,0.2616984402079723,0.24834437086092714,0.8614144096547977,0.13369505797016756,0.6049379181943629,3.940662520223443,0.494175771002859,2.0441519551339176,circle,nan,nan,3.30518114979109,12.89719043967862,4.6811190969607726,19.639252987890544,3.553673754791757,3.30518114979109,12.89719043967862,4.6811190969607726,19.639252987890544,3.553673754791757,16.990285204852352,16.990285204852352,0.2,0.2810686795957927,0.780359370662564,0.5778675562995286,27.102950070776938,,10.353001241751452,,,ccpfm_flux,0,1154,95,0.33882149046793764,3.940662520223443,0.5917428202221164,2.189373341223369,0.7383015597920277,0.37089201877934275,2.838212428933873,0.23615610906081974,1.7682219004638713,0.2616984402079723,0.24834437086092714,3.940662520223443,0.494175771002859,2.0441519551339176,1.0,0.33882149046793764,smooth_variable,0,8104,0.0002458149999995385,0.06783560400000965,4,False
,,,,,0.030407581000019945,,,,,,,0.07455159599999206,,,57.407819321588384,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.5884201178962687,,2.0898934737844024,20.71435566545283,,9.254221038073128,,,wls_strong,,,135,,,,,,,,,,,,,,,,,smooth_variable,,8100,0.0003895479999869167,0.10534872499999892,0,False
