domain,frac_max_error_on_boundary,global_order_l2_core_interior_median,global_order_l2_median,global_order_l2_near_boundary_interior_median,global_order_l2_trimmed,global_order_linf_core_interior_median,global_order_linf_median,global_order_linf_near_boundary_interior_median,global_order_linf_trimmed,h_target,mean_added_edge_correction_rel_max,mean_added_edge_correction_rel_median,mean_added_edge_correction_rel_p90,mean_added_edge_fraction,mean_added_edge_negative_lambda_fraction,mean_boundary_edge_correction_rel_max,mean_boundary_edge_correction_rel_median,mean_boundary_edge_correction_rel_p90,mean_boundary_edge_negative_lambda_fraction,mean_constraint_resid_inf,mean_constraint_resid_l2,mean_core_edge_correction_rel_max,mean_core_edge_correction_rel_median,mean_core_edge_correction_rel_p90,mean_core_edge_negative_lambda_fraction,mean_correction_abs_max,mean_correction_abs_median,mean_correction_rel_l2,mean_correction_rel_max,mean_correction_rel_median,mean_correction_rel_p90,mean_frac_err2_near_boundary_interior,mean_l2,mean_l2_core_interior,mean_l2_interior,mean_l2_near_boundary_interior,mean_lambda_ratio_median,mean_linf,mean_linf_core_interior,mean_linf_interior,mean_linf_near_boundary_interior,mean_max_local_cond,mean_min_local_sigma_min,mean_n_added_edges,mean_n_core_interior,mean_n_flagged_enrichment_nodes,mean_n_near_boundary_interior,mean_n_original_edges,mean_negative_lambda_fraction,mean_original_edge_correction_rel_max,mean_original_edge_correction_rel_median,mean_original_edge_correction_rel_p90,mean_original_edge_fraction,mean_original_edge_negative_lambda_fraction,mean_patch_const_max,mean_patch_quad_max,mean_patch_x2h_max,mean_patch_x_max,mean_patch_xy_max,mean_patch_y2h_max,mean_patch_y_max,mean_rms_core_interior,mean_rms_interior,mean_rms_near_boundary_interior,median_added_edge_correction_rel_max,median_added_edge_correction_rel_median,median_added_edge_correction_rel_p90,median_added_edge_fraction,median_added_edge_negative_lambda_fraction,median_boundary_edge_correction_rel_max,median_boundary_edge_correction_rel_median,median_boundary_edge_correction_rel_p90,median_boundary_edge_negative_lambda_fraction,median_constraint_resid_inf,median_constraint_resid_l2,median_core_edge_correction_rel_max,median_core_edge_correction_rel_median,median_core_edge_correction_rel_p90,median_core_edge_negative_lambda_fraction,median_correction_abs_max,median_correction_abs_median,median_correction_rel_l2,median_correction_rel_max,median_correction_rel_median,median_correction_rel_p90,median_frac_err2_near_boundary_interior,median_l2,median_l2_core_interior,median_l2_interior,median_l2_near_boundary_interior,median_lambda_ratio_median,median_linf,median_linf_core_interior,median_linf_interior,median_linf_near_boundary_interior,median_max_local_cond,median_min_local_sigma_min,median_n_added_edges,median_n_core_interior,median_n_flagged_enrichment_nodes,median_n_near_boundary_interior,median_n_original_edges,median_negative_lambda_fraction,median_original_edge_correction_rel_max,median_original_edge_correction_rel_median,median_original_edge_correction_rel_p90,median_original_edge_fraction,median_original_edge_negative_lambda_fraction,median_patch_const_max,median_patch_quad_max,median_patch_x2h_max,median_patch_x_max,median_patch_xy_max,median_patch_y2h_max,median_patch_y_max,median_rms,median_rms_core_interior,median_rms_interior,median_rms_near_boundary_interior,n_trials,n_unstable,operator,outlier_fraction,std_l2,std_linf,trimmed_l2,trimmed_linf
annulus,0.0,2.49930051831588,1.8236611424977294,2.369594851155783,1.842386684626349,1.4015438746056925,1.602171043706266,1.984155890931909,1.6266423799680134,0.08,nan,nan,nan,0.0,nan,4.015829220118456,0.6163510318741313,2.082086675641673,0.3666047921446639,1.4996848186031585e-11,1.2039713465811656e-10,2.5856833334384093,0.3418541187101661,1.553582286696395,0.2597651302096434,0.29830014491063117,0.050638938106484475,0.5690619640100156,4.015829220118456,0.4957810195352767,1.848692775613832,0.2185292879514952,0.037260056268389935,0.04681739190553453,0.041494951439407284,0.031201160212707836,0.743850136891766,0.10765893876252366,0.10765893876252366,0.10765893876252366,0.07725358194641307,26.56696798143693,0.1586556950750519,0.0,159.5,0.0,147.0,6391.7,0.3234405727004843,4.015829220118456,0.4957810195352767,1.848692775613832,1.0,0.3234405727004843,8.08553224374009e-13,3.1803338629288192e-09,2.339750682089914e-09,2.3110915570168087e-09,2.989236036476939e-09,2.0538848843898448e-09,2.133006726801057e-09,0.0467173609718867,0.039725810889344036,0.03035808192128566,nan,nan,nan,0.0,nan,4.0501189734712515,0.6185436659056225,2.084099912551099,0.36641617410359734,1.4303912221347304e-11,1.2254977709804574e-10,2.5986977407876473,0.3440946009488914,1.5482852357195043,0.2598927179789631,0.2986709606306424,0.05075246580348592,0.5690453916590159,4.0501189734712515,0.49702519005982376,1.8526909987356963,0.22024721101692707,0.03783336728400413,0.0474428922104499,0.04208908255125095,0.03111802009931719,0.7430210408685105,0.10954271861811607,0.10954271861811607,0.10954271861811607,0.07687345562394696,26.554558544097738,0.15861346453452324,0.0,159.0,0.0,147.0,6401.5,0.3236965159729071,4.0501189734712515,0.49702519005982376,1.8526909987356963,1.0,0.3236965159729071,7.949196856316121e-13,3.1006974765546147e-09,2.1481874057371897e-09,2.3097372903180258e-09,2.9553709479657186e-09,1.9954047303372136e-09,2.1088215618192407e-09,0.033611403295645825,0.047336187728443724,0.04032449946553949,0.030432006001855798,10,0,ccpfm,0.0,0.0015728969428029874,0.008290487686554405,0.03755896391903835,0.1083124994536669
annulus,0.0,2.49930051831588,1.8236611424977294,2.369594851155783,1.842386684626349,1.4015438746056925,1.602171043706266,1.984155890931909,1.6266423799680134,0.1,nan,nan,nan,0.0,nan,4.178899993403368,0.5991332582686693,2.0937047245962788,0.3672806839159279,1.0007462913907971e-11,5.49588507208453e-11,2.6005884228696408,0.29556729276518856,1.4220931551621399,0.21529412622003868,0.2992793198385932,0.047465009527708484,0.559133253445981,4.178899993403368,0.49281151001400836,1.9140352315353586,0.3698478929078953,0.05277263123437399,0.06845780796459804,0.060613285992472996,0.05176294037968413,0.7591724265044695,0.14429756828490076,0.1441539882542736,0.14429756828490076,0.11981551373583939,26.319043397095946,0.16105559994992785,0.0,77.3,0.0,116.4,4349.4,0.3217938835656355,4.178899993403368,0.49281151001400836,1.9140352315353586,1.0,0.3217938835656355,4.0678571622265736e-13,1.669356164413216e-09,1.0595542443425642e-09,1.0994432475541771e-09,1.3330344605932964e-09,1.1702313562622635e-09,1.1841262193001968e-09,0.06862324056128444,0.05854429908277227,0.05071771202281925,nan,nan,nan,0.0,nan,4.1664341079221625,0.5974037081679546,2.0945833108423617,0.3683720741377866,9.468696660075437e-12,5.561329261398573e-11,2.6419702023897553,0.29348594764698965,1.4282151320246474,0.21747661601054635,0.29562540688807415,0.047330863015029596,0.5590629362531407,4.1664341079221625,0.49410867623487975,1.9125856649735835,0.37059005465084893,0.05270362175562168,0.06778475451819582,0.06057006799991592,0.052247766011319696,0.7580105873667361,0.142656963764552,0.142656963764552,0.142656963764552,0.1186814937235545,26.24766203501374,0.1615919826620314,0.0,76.5,0.0,117.0,4329.5,0.32273030684042003,4.1664341079221625,0.49410867623487975,1.9125856649735835,1.0,0.32273030684042003,3.9879211044535623e-13,1.6256480606102741e-09,9.69728408684034e-10,1.038577668310836e-09,1.3933481035621753e-09,1.1104266395278728e-09,1.1730278970389918e-09,0.04700500460839148,0.0673259339187206,0.05857661017353316,0.051119273670927355,10,0,ccpfm,0.0,0.00342557892134627,0.015926974386862684,0.052865458752871804,0.14302073856225248
annulus,0.0,2.49930051831588,1.8236611424977294,2.369594851155783,1.842386684626349,1.4015438746056925,1.602171043706266,1.984155890931909,1.6266423799680134,0.12,nan,nan,nan,0.0,nan,4.587621206053083,0.6445660275917405,2.1802772203431764,0.3623287230296682,5.419584225840879e-12,3.405933238325144e-11,2.1003071994307305,0.09733045242549068,0.8544145510346862,0.06756401511824266,0.21167606654221607,0.037770138196222526,0.5429704282747183,4.587621206053083,0.5093254568474325,2.033460453310505,0.5600000341271819,0.10831775790408456,0.14560353258425324,0.1274481213027873,0.1170971932724699,0.7762271983749096,0.24738383479175124,0.24487886999536607,0.24738383479175124,0.22906107818786828,22.031041416494354,0.20397753457977763,0.0,34.8,0.0,104.8,4157.8,0.31037790028876816,4.587621206053083,0.5093254568474325,2.033460453310505,1.0,0.31037790028876816,3.8680170177940454e-13,8.080460744963602e-10,6.993735146565427e-10,6.323103818317577e-10,6.209064734585823e-10,7.24117210637587e-10,6.270617802783818e-10,0.14655142532067705,0.11743821579675442,0.10596738271385941,nan,nan,nan,0.0,nan,4.501512182777121,0.6424949105417619,2.1811906031396546,0.3627131272053514,5.521279614062458e-12,3.3783577573376936e-11,1.9843465117281407,0.09637273327750849,0.8638968631423094,0.06938722747370746,0.21326333261654995,0.03783810621984811,0.5435215084961122,4.501512182777121,0.5120388462566077,2.0333310488233125,0.5681818720503582,0.10770124474150089,0.1445777414417379,0.1268197560480664,0.1170937912261219,0.7748657092520927,0.24747318824785808,0.2457625907681888,0.24747318824785808,0.2273742158019994,21.990756790077523,0.20449999881900183,0.0,34.0,0.0,105.5,4160.0,0.3103361636446826,4.501512182777121,0.5120388462566077,2.0333310488233125,1.0,0.3103361636446826,3.872457909892546e-13,8.133196338633297e-10,6.869954605193129e-10,6.32836671954351e-10,6.08606054441907e-10,7.204522534109969e-10,6.264762042462735e-10,0.09131193279110067,0.146634868390696,0.1167146731698411,0.1060118256158715,10,0,ccpfm,0.0,0.00396245086241471,0.014297252771680454,0.10844515882242096,0.24678610670332002
annulus,0.0,2.49930051831588,1.8236611424977294,2.369594851155783,1.842386684626349,1.4015438746056925,1.602171043706266,1.984155890931909,1.6266423799680134,0.16,nan,nan,nan,0.0,nan,6.325794087328129,0.44555283784948063,1.5709830825118174,0.23723670694588792,2.3527329390260476e-12,1.4511030829026298e-11,2.7373364661297823,0.025005792624274926,0.3377894688730517,0.0330421939606569,0.3028412974814575,0.03035439705085587,0.5030290281607785,6.325794087328129,0.3779709710115531,1.5118659656916462,0.9308986049902076,0.14215968233874055,0.2385527246762112,0.18066398876855916,0.17785143577565687,0.7826907649712672,0.3369462856395595,0.28363335008988316,0.3369462856395595,0.3369462856395595,31.973764045631548,0.15745834239174217,0.0,2.0,0.0,73.3,2181.8,0.21901143949593121,6.325794087328129,0.3779709710115531,1.5118659656916462,1.0,0.21901143949593121,1.8994805728311804e-13,2.563703471736289e-10,1.7779973049414367e-10,1.532610927057476e-10,1.7149537215668809e-10,1.8776160626288174e-10,1.6305475390027134e-10,0.24007526300039592,0.16391709560650863,0.16136355105956987,nan,nan,nan,0.0,nan,6.393114626260895,0.4451009907949361,1.5771997089220156,0.23894356039456544,2.329742301854232e-12,1.4641566372684402e-11,3.032862028452838,0.02598716473686178,0.325216263744567,0.037356321839080456,0.30405716397687965,0.030669819773872058,0.5038696251447714,6.393114626260895,0.3853786234595361,1.5186267180229756,0.9378298373196585,0.13832768247254607,0.247549084837638,0.17576032229796115,0.17396517376335285,0.7851235534469481,0.32644117184935373,0.27145915882649674,0.32644117184935373,0.32644117184935373,31.79915788663316,0.15890145447056675,0.0,2.0,0.0,73.5,2159.5,0.22096498048785101,6.393114626260895,0.3853786234595361,1.5186267180229756,1.0,0.22096498048785101,1.9562129693895258e-13,2.548066202479049e-10,1.7232487659057938e-10,1.5103007733330287e-10,1.7113943595603587e-10,1.8863260953239092e-10,1.6273760117258007e-10,0.11631121178227932,0.24663188878146747,0.16010173205043565,0.15920448786382002,10,0,ccpfm,0.0,0.012969232786931906,0.04067652901289128,0.14206460615594865,0.3351026506114609
annulus,0.0,2.49930051831588,1.8236611424977294,2.369594851155783,1.842386684626349,1.4015438746056925,1.602171043706266,1.984155890931909,1.6266423799680134,0.2,nan,nan,nan,0.0,nan,6.034433243010114,0.29676698055211753,2.0496340694995303,0.2580132092003573,2.036745078148883e-12,1.113318579801976e-11,2.9232020309941795,0.02603530006835298,0.8975719717166655,0.08695675849465187,0.19441561461084472,0.021074901862477666,0.4435925224189437,6.034433243010114,0.2675111527257837,2.0288731335277523,1.0,0.19754304302426012,nan,0.2701763492061765,0.2701763492061765,0.9135835104558077,0.4669243037570441,nan,0.4669243037570441,0.4669243037570441,29.040163666581343,0.18950187136666133,0.0,0.0,0.0,48.4,1608.2,0.24956496677261533,6.034433243010114,0.2675111527257837,2.0288731335277523,1.0,0.24956496677261533,1.0371703496048213e-13,1.8096406595446978e-10,1.5649987972210512e-10,9.74754187088589e-11,1.0342763936965759e-10,1.7714600897278386e-10,1.1014008038934265e-10,nan,0.24474417014040162,0.24474417014040162,nan,nan,nan,0.0,nan,6.105422200679794,0.29907742154489086,2.046366470645761,0.25953785103268545,2.0357396324222066e-12,1.1041779612019223e-11,2.9600438918866314,0.021223864869044283,0.6742409583473429,0.08013230900554844,0.18833928917434284,0.02115955655077256,0.447933564821475,6.105422200679794,0.26615982648931813,2.0306460238557924,1.0,0.19611217552517052,nan,0.2692302125900915,0.2692302125900915,0.9156900055130256,0.46603485873952266,nan,0.46603485873952266,0.46603485873952266,28.959268314148787,0.19002596621889833,0.0,0.0,0.0,49.0,1679.0,0.2505260247696501,6.105422200679794,0.26615982648931813,2.0306460238557924,1.0,0.2505260247696501,1.0524914273446484e-13,1.8338874863133015e-10,1.5087470162100658e-10,9.704772749308255e-11,1.0335030053987282e-10,1.774637103935106e-10,1.0574198461288375e-10,0.16953453242275862,nan,0.24452574175650554,0.24452574175650554,10,0,ccpfm,0.0,0.006679415931726951,0.015316590647253707,0.19659208582471954,0.4680272099694955
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.30258781665260875,0.04779330452848573,0.056720485623814265,0.05322525007103196,0.0470124286714441,1.0,0.1920872850494942,0.18806716400480447,0.1920872850494942,0.1674145555842282,328.0350808016582,0.007954856081364559,nan,159.5,nan,147.0,nan,0.0,nan,nan,nan,nan,nan,1.3247181129827368e-13,6.16395823271887e-14,4.6473935810809055e-14,9.486855745421963e-14,4.9885096053969845e-14,4.8760995241536874e-14,1.0114131754335176e-13,0.057142444798357984,0.05373596383907055,0.04969914667702539,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.2990717820558746,0.047952941428904244,0.05658952384896701,0.05342056751657864,0.04655605356584538,1.0,0.1953271699945484,0.18615396568406295,0.1953271699945484,0.17355994490368254,322.5218170221077,0.008081361061230957,nan,159.0,nan,147.0,nan,0.0,nan,nan,nan,nan,nan,1.3145040611561853e-13,6.17284001691587e-14,4.5852210917018965e-14,9.442446824436956e-14,4.973799150320701e-14,5.0737192225369654e-14,1.0191847366058937e-13,0.04462773965950949,0.05686664713834897,0.05351455220172886,0.04849240655139812,10,0,wls,0.0,0.00252394048760309,0.030840623394207563,0.04817064947142715,0.1924790633829806
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.5325215559238111,0.08473220189588687,0.09469688529387414,0.09731573820358133,0.09978102077823303,1.0,0.32349074001780376,0.2884721599450265,0.32349074001780376,0.31412937122740303,202.90348101037628,0.012773621089260357,nan,77.3,nan,116.4,nan,0.0,nan,nan,nan,nan,nan,7.247535904753021e-14,3.3861802251067274e-14,2.6145752229922437e-14,5.694889004814741e-14,2.8391178297226815e-14,2.9976021664879227e-14,5.844214001626824e-14,0.09562846669307083,0.10231123891091096,0.10645453830457255,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.5379109844768184,0.0840883765887542,0.09140898744378714,0.09656218298809,0.10142408985695657,1.0,0.3120142931260741,0.27767428128761606,0.3120142931260741,0.3120142931260741,201.12363630917974,0.012935672211756826,nan,76.5,nan,117.0,nan,0.0,nan,nan,nan,nan,nan,7.105427357601002e-14,3.341771304121721e-14,2.353672812205332e-14,5.4817261840867104e-14,2.7533531010703882e-14,3.097522238704187e-14,5.5289106626332796e-14,0.08206514453451866,0.09079137481359047,0.10226715939131929,0.10735165660097536,10,1,wls,0.1,0.004904262552795579,0.054212661466552244,0.08475810254775058,0.31490507154226133
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.7594535780181465,0.1396333604792374,0.13672787313273638,0.16428216113430008,0.17624654929840494,1.0,0.623418462830868,0.3459746177743369,0.623418462830868,0.623418462830868,149.32269274543606,0.017308624840555432,nan,34.8,nan,104.8,nan,0.0,nan,nan,nan,nan,nan,5.3868021154812594e-14,2.4291679778798426e-14,1.7497114868092466e-14,3.9168668308775524e-14,2.2006008126851385e-14,1.7219559111936177e-14,3.914646384828302e-14,0.1383105538081345,0.18740231103216348,0.20058746591186222,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.7517113605153825,0.13613851109062075,0.13504141916327872,0.16020092006002562,0.173619277101906,1.0,0.5742496197798159,0.34768254173210383,0.5742496197798159,0.5742496197798159,148.11651251276172,0.01747916589546898,nan,34.0,nan,105.5,nan,0.0,nan,nan,nan,nan,nan,5.218048215738236e-14,2.55351295663786e-14,1.609823385706477e-14,3.907985046680551e-14,2.14064876935538e-14,1.6264767310758543e-14,4.0745185003743245e-14,0.14657625795289236,0.13705529932704696,0.18823376419581117,0.1998307432699996,10,0,wls,0.0,0.014851994112960941,0.18324937362119523,0.13805905020226192,0.5799492459219783
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.9927086504295506,0.482268195263841,0.21998127104159074,0.6130383962293097,0.624366130166982,1.0,2.6784873333089836,0.28107047972786575,2.6784873333089836,2.6784873333089836,79.05593936772405,0.03319592259385777,nan,2.0,nan,73.3,nan,0.0,nan,nan,nan,nan,nan,2.854383396311278e-14,1.4876988529977098e-14,9.692247004977616e-15,2.2293278334473145e-14,1.3503087537003466e-14,1.056932319443149e-14,2.533528942194607e-14,0.21491332799934995,0.7362929144939797,0.7454810978671513,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.9979246807444626,0.4811843700048005,0.190842093796504,0.61448542020514,0.6223800083630567,1.0,2.644199849973295,0.23616885256732373,2.644199849973295,2.644199849973295,79.44359780513116,0.03316731158309302,nan,2.0,nan,73.5,nan,0.0,nan,nan,nan,nan,nan,2.758904216193514e-14,1.3766765505351941e-14,1.0103029524088925e-14,2.1538326677728037e-14,1.2725931419765857e-14,9.381384558082573e-15,2.120525977034049e-14,0.5328758620052301,0.18780968960358108,0.7370957145012172,0.7442730057715847,10,0,wls,0.0,0.07956433435739671,0.554562396502546,0.47052232413700873,2.6625401537750357
annulus,0.0,1.7632455281242827,2.986493734808618,3.304761979874912,2.974847454975461,0.35007405387703927,3.1278670678378746,3.2271904385266925,3.1337743475015643,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,0.6343920176905177,nan,0.8683307307576318,0.8683307307576318,1.0,2.4707803843576217,nan,2.4707803843576217,2.4707803843576217,47.61322764092788,0.053098444467170824,nan,0.0,nan,48.4,nan,0.0,nan,nan,nan,nan,nan,1.79134485023269e-14,9.392486788328824e-15,7.94919685631612e-15,1.2678746941219288e-14,1.0645824499722067e-14,7.982503547054876e-15,1.3371248552829229e-14,nan,0.9496811061557251,0.9496811061557251,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,0.6126959032813931,nan,0.8355248096627379,0.8355248096627379,1.0,2.4031725372652297,nan,2.4031725372652297,2.4031725372652297,47.2503716736923,0.05340204530973555,nan,0.0,nan,49.0,nan,0.0,nan,nan,nan,nan,nan,1.7930101847696278e-14,9.325873406851315e-15,7.438494264988549e-15,1.2323475573339238e-14,1.0658141036401503e-14,7.327471962526033e-15,1.3211653993039363e-14,0.6458370168562437,nan,0.9339159763099794,0.9339159763099794,10,1,wls,0.1,0.06854283554846594,0.669582746670264,0.6175508778875278,2.3896730028276987
